s2id,label,anchor_group,lat,lon
106142f3,"DOUALA,CMR",299,3.884916202569309,9.520065149536718
10615caf,"DOUALA,CMR",299,3.8463511081632324,9.464102703016536
10615cb3,"DOUALA,CMR",299,3.8514187670411846,9.469803665359953
106142e9,"DOUALA,CMR",299,3.875480272932287,9.514420620670387
10614281,"DOUALA,CMR",299,3.8900483110796737,9.541952995241115
106169d7,"DOUALA,CMR",299,3.900184769779507,9.547410161441418
1061682b,"DOUALA,CMR",299,3.8896507158710962,9.548051398231337
1061431d,"DOUALA,CMR",299,3.8806339270224823,9.498213813473209
10616829,"DOUALA,CMR",299,3.885265388107885,9.547518604859496
1061427d,"DOUALA,CMR",299,3.894977803587101,9.536662822501201
1061434f,"DOUALA,CMR",299,3.860025864888264,9.470432435583756
106142e3,"DOUALA,CMR",299,3.8802761488327158,9.503403098378232
10615ca7,"DOUALA,CMR",299,3.8416335351746045,9.458134929668526
10614295,"DOUALA,CMR",299,3.8758215188325806,9.525579568467391
10614293,"DOUALA,CMR",299,3.8799350817946276,9.525506154005043
106169dd,"DOUALA,CMR",299,3.9099509018338963,9.55392738712282
10615b5d,"DOUALA,CMR",299,3.8359485574778476,9.447624730167185
106142e7,"DOUALA,CMR",299,3.8756013757045866,9.508605072577486
10615b43,"DOUALA,CMR",299,3.8352613807968456,9.442804315038368
10615cad,"DOUALA,CMR",299,3.8509887400260707,9.46453440628917
106142df,"DOUALA,CMR",299,3.870573292367695,9.503456199133865
10614263,"DOUALA,CMR",299,3.894538826509883,9.531877261564953
10614261,"DOUALA,CMR",299,3.8952899172470725,9.525891654027815
10615b5b,"DOUALA,CMR",299,3.8403634050324507,9.448538389001115
1061428b,"DOUALA,CMR",299,3.889887780205413,9.525819352263227
1061428d,"DOUALA,CMR",299,3.8855387644997714,9.525567675114303
1061433b,"DOUALA,CMR",299,3.8654485227403748,9.486720024096334
10615ca9,"DOUALA,CMR",299,3.8456994076101165,9.45820689231515
10615b69,"DOUALA,CMR",299,3.831378140753828,9.442341222864167
1061428f,"DOUALA,CMR",299,3.885372729272119,9.531081615117248
106169d9,"DOUALA,CMR",299,3.905174277657365,9.54782580466055
106142f1,"DOUALA,CMR",299,3.885268958219713,9.51497236269519
1061431f,"DOUALA,CMR",299,3.87526552167789,9.497762353415862
10615cab,"DOUALA,CMR",299,3.850265450831073,9.458867758767909
10614339,"DOUALA,CMR",299,3.8657388738424965,9.481510445282836
10614349,"DOUALA,CMR",299,3.86008659996048,9.47616931065243
10614283,"DOUALA,CMR",299,3.884937967156354,9.542139505891935
10614291,"DOUALA,CMR",299,3.8803983704749734,9.53103637283438
106142e5,"DOUALA,CMR",299,3.880476033809464,9.509162158679475
1061682f,"DOUALA,CMR",299,3.8853394856624788,9.552970679464925
106142eb,"DOUALA,CMR",299,3.875549323682323,9.51994397914572
10614279,"DOUALA,CMR",299,3.8997342875869374,9.543174960018943
10615b59,"DOUALA,CMR",299,3.841126530095549,9.453513449392673
10614331,"DOUALA,CMR",299,3.861443179143461,9.486369691163263
10614323,"DOUALA,CMR",299,3.870144916227088,9.49259517692172
10614289,"DOUALA,CMR",299,3.8900569131853775,9.53185318299144
10614337,"DOUALA,CMR",299,3.8608117621632796,9.480771846808203
10614ab5,"LIMBE,CMR",300,3.9998464483454677,9.191909248692276
1066b533,"LIMBE,CMR",300,3.9898221870052675,9.18689203506531
106433f1,"LUBA,GNQ",302,3.4694655949519326,8.559056177600803
106433ef,"LUBA,GNQ",302,3.4736054846785707,8.559012585437006
106433dd,"LUBA,GNQ",302,3.4838921523279733,8.564060115396938
106433e9,"LUBA,GNQ",302,3.4782114792028773,8.558770331740549
1064338d,"LUBA,GNQ",302,3.466922391005334,8.547994852771163
106433e5,"LUBA,GNQ",302,3.4735842604714486,8.563333744895662
106433e7,"LUBA,GNQ",302,3.4791654950811517,8.563931729345981
1064338b,"LUBA,GNQ",302,3.4662161128532682,8.548846909388637
10660c67,"SERPENTINA TERMINAL,GNQ",303,3.8038159878820763,8.081578615510942
10661fd9,"ODUDU TERMINAL,NGA",304,4.00470473065547,7.787891381338228
10663769,"QUA IBOE,NGA",305,4.20469917113798,8.070577887125026
