year,lon_bin,lat_bin,number_attacks,grid_id
2017,60,20,2,96
2017,65,20,2,117
2017,70,15,1,180
2017,70,20,4,58
2017,75,10,1,60
2017,80,15,2,63
2017,90,20,18,65
2017,95,0,2,66
2017,100,0,65,69
2017,100,5,2,130
2017,105,-10,12,70
2017,105,0,4,71
2017,105,20,4,74
2017,110,-5,2,106
2017,115,-15,2,181
2017,115,-10,2,142
2017,115,-5,11,78
2017,115,5,10,80
2017,115,20,2,182
2017,115,35,3,119
2017,120,5,12,82
2017,120,10,35,83
2017,125,0,2,157
2017,125,30,1,183
2017,130,-5,1,84
2017,130,35,2,184
2017,150,-10,2,185
2017,175,-20,3,174
