year,iso3,hours
2016,DEU,5788864.448611111
2016,WSM,7686.255833333333
2016,MEX,2965024.2141666664
2016,SYR,75871.98972222224
2016,POL,846981.2683333335
2016,BEL,3130992.0255555552
2016,GRC,4176112.3552777786
2016,PAN,1582698.7880555554
2016,TUR,7198708.376388892
2016,DZA,1565976.4247222226
2016,FJI,104424.57666666669
2016,BGD,728314.9858333333
2016,TUV,33202.017777777786
2016,NAM,458730.9844444445
2016,GTM,240681.2941666667
2016,LVA,523129.32388888905
2016,TUN,692863.0372222223
2016,BHS,773123.4466666668
2016,MUS,800589.9447222223
2016,DJI,332749.88527777785
2016,QAT,664766.6338888891
2016,TZA,233146.19583333336
2016,TGO,521111.08805555553
2016,GAB,231299.38472222225
2016,SLE,271378.8269444445
2017,SVN,99234.52972222226
2017,MDV,341915.46972222225
2017,QAT,604679.2072222224
2017,MHL,123828.57861111115
2017,EGY,2547257.3811111106
2017,SOM,207082.91972222223
2017,BRN,75091.4113888889
2017,KWT,422372.86666666693
2017,LTU,278400.0627777778
2017,PHL,5623738.986710968
2017,MMR,370362.34027777775
2017,MLT,754120.6930555556
2017,SYR,74872.53250000002
2017,AZE,369369.2919444444
2017,TUR,7832439.964166666
2017,RUS,10153477.283611115
2017,COD,104516.0461111111
2017,PAK,979286.1013888889
2017,COM,73114.49666666667
2017,ALB,116774.38388888891
2017,IDN,14677527.817602746
2017,SYC,215321.97722222228
2017,GRC,4261002.485000001
2017,KNA,23854.99583333334
2017,GAB,215263.07388888887
2017,LBR,294274.64666666667
2017,SLE,287902.29388888896
2017,BHR,157366.74250000002
2017,GNB,152822.5916666667
2017,MEX,3207432.356111112
2017,SLV,108803.94638888893
2017,"NA",185301.7633333333
2017,GHA,672993.0133333332
2017,ESH,555136.1744444445
2017,NIC,175761.90388888892
2017,VNM,1066579.4511111113
2017,TKM,271890.58138888894
2017,MRT,367926.29472222226
2017,POL,805656.439166667
2017,GNQ,220739.66472222225
2017,YEM,1455373.0300000003
2017,TGO,465230.0266666668
2017,VCT,32206.944166666668
2017,NRU,8158.8391666666685
2017,GMB,74627.40111111115
2017,PAN,1636472.7227777783
2017,MAR,1512235.8813888887
2017,GEO,148554.1394444445
2017,CIV,589370.7058333334
2017,PSE,966.8755555555555
2017,BLZ,45086.514722222215
2017,BHS,802365.9811111111
2017,BEN,147896.22722222225
2017,AGO,723369.1233333334
2017,DEU,5936957.500833334
2017,COG,161334.64861111116
2017,LCA,46760.45944444445
2017,PRK,124566.66833333335
2017,NGA,1270319.7344444448
2017,THA,2546232.968676747
2017,BGR,550749.4283333335
2017,CPV,356995.78361111117
2017,WSM,8495.718333333334
2017,CUB,888120.1241666665
2017,SWE,2312054.7844444443
2017,JOR,110637.32027777779
2017,DZA,1552044.501111111
2017,GIN,333638.11500000017
2017,IRL,524830.6558333335
2017,CHN,101781297.36225471
2017,IRN,2749402.077777778
2017,TUN,732147.9452777778
2017,ROU,794630.4086111115
2017,ITA,4448583.140277777
2017,CMR,283103.3316666668
2017,FJI,112947.04666666669
2017,FIN,945266.4661111112
2017,TTO,437533.7744444446
2017,SLB,292746.8986111111
2017,TUV,41344.73861111112
2017,GTM,241702.70555555559
2017,MCO,4325.860000000001
2017,ISR,571499.6950000002
2017,VUT,34315.436111111114
2017,SGP,3929880.490833334
2017,LBY,474449.8025000001
2017,LVA,508218.0052777781
2017,SAU,1849834.214722222
2017,ARG,1430187.1897222227
2017,TZA,213714.45833333334
2017,BGD,1223463.5000000005
2017,GRD,39793.743888888894
2017,PLW,130861.33361111111
2017,CYP,509070.5705555557
2017,ATG,42856.22666666667
2017,IRQ,425665.08833333344
2017,BEL,3130766.1527777785
2017,MNE,23558.60444444445
2017,LKA,1759379.162777778
2017,LBN,311489.7302777779
