"","year","country","attacks","icd_tot","icd_1000","pop","ef_os","ps","unem","gulf"
"168",2016,"Yemen",6,2966,0.109171712,"27168210",NA,-2.79,13.31000042,"Aden"
"169",2017,"Angola",1,25,0.000838455,"29816748",48.5,-0.33,7.099999905,"Guinea"
"170",2017,"Benin",1,0,0,"11175204",59.2,0.03,2.440000057,"Guinea"
"171",2017,"Cameroon",0,98,0.003989246,"24566045",51.8,-1.1,3.410000086,"Guinea"
"172",2017,"Djibouti",1,0,0,"944097",46.7,-0.74,11.18000031,"Aden"
"173",2017,"Eritrea",11,0,0,"N/A",42.2,-0.73,6.5,"Aden"
"174",2017,"Gabon",0,0,0,"2064823",58.6,-0.1,19.93000031,"Guinea"
"175",2017,"Ghana",3,0,0,"29121471",56.2,0.09,4.21999979,"Guinea"
"176",2017,"Kenya",0,85,0.001692503,"50221473",53.5,-1.13,2.690000057,"Aden"
"177",2017,"Nigeria",68,1879,0.009844226,"190873311",57.1,-2,8.390000343,"Guinea"
"178",2017,"Oman",1,0,0,"4665935",62.1,0.75,2.49000001,"Aden"
"179",2017,"Somalia",9,1918,0.131467843,"14589119",NA,-2.26,13.02000046,"Aden"
"180",2017,"Tanzania",1,0,0,"54663906",58.6,-0.56,2.029999971,"Aden"
"181",2017,"Togo",1,0,0,"7698475",53.2,-0.88,3.74000001,"Guinea"
"182",2017,"Yemen",36,2686,0.096497836,"27834821",NA,-2.94,13.14999962,"Aden"
